108 W SOUTH ST ,201,22902,UNKNOWN STATE
108 W SOUTH ST ,202,22902,UNKNOWN STATE
111 E WATER ST ,,22902,AVAILABLE
108 W SOUTH ST ,203,22902,AVAILABLE
416 10TH ST NW ,,22903,NOT AVAILABLE
1226 SMITH ST ,H,22901,UNKNOWN STATE
1431 E HIGH ST ,,22902,UNKNOWN STATE
721 BLENHEIM AVE ,,22902,AVAILABLE
1800 JEFFERSON PARK AVE ,306,22903,UNKNOWN STATE
109 PIEDMONT AVE S ,,22903,NOT AVAILABLE
814 NALLE ST ,A,22903,AVAILABLE
1025 PRESTON AVE ,B,22903,NOT AVAILABLE
1410 VINE ST ,B,22902,AVAILABLE
217 E JEFFERSON ST ,,22902,AVAILABLE
408 E MARKET ST ,205B,22902,AVAILABLE
2111 MICHIE DR ,69,22901,NOT AVAILABLE
512 15TH ST NW ,2,22903,NOT AVAILABLE
608 LYONS AVE ,,22902,AVAILABLE
428 MONROE LN ,207,22903,NOT AVAILABLE
401 E MARKET ST ,200,22902,AVAILABLE
1845 FENDALL AVE ,,22903,AVAILABLE
816 HINTON AVE ,,22902,AVAILABLE
126 GARRETT ST ,K,22902,AVAILABLE
608 ST CHARLES AVE ,B,22902,NOT AVAILABLE
107 W WATER ST ,12,22902,AVAILABLE
107 LOCUST LANE CT ,,22901,NOT AVAILABLE
404 ALTAMONT ST ,,22902,AVAILABLE
401 4TH ST NW ,314,22903,NOT AVAILABLE
912 COLEMAN ST ,,22901,AVAILABLE
311 12TH ST NE ,,22902,AVAILABLE
1806 EASTVIEW ST ,A,22902,NOT AVAILABLE
221 E MAIN ST ,,22902,AVAILABLE
1612 TRAILRIDGE RD ,,22903,AVAILABLE
700 NORTH AVE ,,22901,AVAILABLE
423 FAIRWAY AVE ,,22902,AVAILABLE
2417 JEFFERSON PARK AVE ,B,22903,NOT AVAILABLE
933 HEMLOCK LN ,,22903,NOT AVAILABLE
415 BRANDON AVE ,1,22903,NOT AVAILABLE
1900 JEFFERSON PARK AVE ,8,22903,NOT AVAILABLE
1728 ALLIED ST ,2,22903,AVAILABLE
2101 ARLINGTON BLVD ,525,22903,NOT AVAILABLE
1800 JEFFERSON PARK AVE ,36,22903,UNKNOWN STATE
415 7TH ST NE ,,22902,AVAILABLE
1302 CARLTON AVE ,B,22902,NOT AVAILABLE
313 2ND ST SE ,208,22902,AVAILABLE
820 CABELL AVE ,B,22903,NOT AVAILABLE
2104 JEFFERSON PARK AVE ,B,22903,AVAILABLE
1870 FIELD RD ,,22903,AVAILABLE
866 ST CHARLES AVE ,,22901,NOT AVAILABLE
215 SHAMROCK RD ,A,22903,AVAILABLE
114 2ND ST NE ,,22902,AVAILABLE
430 1ST ST N ,,22902,AVAILABLE
1000 EMMET ST N ,,22903,NOT AVAILABLE
1037 EMMET ST N ,,22903,NOT AVAILABLE
1107 EMMET ST N ,D,22903,NOT AVAILABLE
1123 EMMET ST N ,A,22903,NOT AVAILABLE
975 EMMET ST N ,B,22903,NOT AVAILABLE
1630 OXFORD RD ,,22903,AVAILABLE
301 15TH ST NW ,2017,22903,NOT AVAILABLE
1625 GREENLEAF LN ,,22903,AVAILABLE
212 CREAM ST ,,22903,NOT AVAILABLE
211 STRIBLING AVE ,B,22903,AVAILABLE
301 15TH ST NW ,5021,22903,NOT AVAILABLE
1208 PRESTON AVE ,,22903,NOT AVAILABLE
228 DOUGLAS AVE ,,22902,AVAILABLE
810 NORTH AVE ,,22901,AVAILABLE
922 RAYMOND RD ,,22902,NOT AVAILABLE
142 BAYLOR LN ,,22902,NOT AVAILABLE
1007 LINDEN AVE ,,22902,NOT AVAILABLE
122 OAKHURST CIR ,4,22903,AVAILABLE
118 GOODMAN ST ,,22902,AVAILABLE
107 WASHINGTON AVE ,A,22903,AVAILABLE
2304 NORTH BERKSHIRE RD ,A,22901,NOT AVAILABLE
1819 JEFFERSON PARK AVE ,202,22903,UNKNOWN STATE
2111 MICHIE DR ,2,22901,NOT AVAILABLE
700 HARRIS ST ,201B,22903,AVAILABLE
1410 GRADY AVE ,19,22903,UNKNOWN STATE
810 MONTROSE AVE ,,22902,AVAILABLE
1105 EMMET ST N ,,22903,NOT AVAILABLE
622 ELIZABETH AVE ,,22901,AVAILABLE
1015 PEARTREE LN ,,22901,NOT AVAILABLE
1700 KING MOUNTAIN RD ,,22901,AVAILABLE
2021 IVY RD ,B9,22903,UNKNOWN STATE
971 2ND ST SE ,,22902,AVAILABLE
1821 JEFFERSON PARK AVE ,5,22903,NOT AVAILABLE
811 BOLLING AVE ,,22902,AVAILABLE
601 PARK ST ,,22902,AVAILABLE
2413 JEFFERSON PARK AVE ,B,22903,NOT AVAILABLE
113 4TH ST NE ,100,22902,AVAILABLE
1112 E MARKET ST ,31K,22902,NOT AVAILABLE
1530 TRAILRIDGE RD ,,22903,AVAILABLE
611 RUGBY RD ,G04,22903,UNKNOWN STATE
1114 PRESTON AVE ,,22903,AVAILABLE
2205 FONTAINE AVE ,204,22903,NOT AVAILABLE
345 250 BYP ,,22901,NOT AVAILABLE
226 DOUGLAS AVE ,,22902,AVAILABLE
737 LEXINGTON AVE ,,22902,AVAILABLE
696 HIGHLAND AVE ,,22903,AVAILABLE
2239 BRANDYWINE DR ,,22901,NOT AVAILABLE
301 15TH ST NW ,1017,22903,NOT AVAILABLE
101 NORTH BAKER ST ,,22903,NOT AVAILABLE
1962 LEWIS MOUNTAIN RD ,3,22903,NOT AVAILABLE
1014 RIDGE ST ,8,22902,NOT AVAILABLE
1021 PRESTON AVE ,B,22903,AVAILABLE
1450 RUTLEDGE AVE ,,22903,AVAILABLE
1027 EMMET ST N ,,22903,NOT AVAILABLE
1901 EMMET ST N ,,22901,NOT AVAILABLE
511 1ST ST N ,407,22902,UNKNOWN STATE
511 1ST ST N ,406,22902,UNKNOWN STATE
720 PROSPECT AVE ,E,22903,NOT AVAILABLE
720 PROSPECT AVE ,F,22903,NOT AVAILABLE
722 PROSPECT AVE ,A,22903,NOT AVAILABLE
722 PROSPECT AVE ,B,22903,NOT AVAILABLE
722 PROSPECT AVE ,C,22903,NOT AVAILABLE
722 PROSPECT AVE ,D,22903,NOT AVAILABLE
722 PROSPECT AVE ,E,22903,NOT AVAILABLE
722 PROSPECT AVE ,F,22903,NOT AVAILABLE
724 PROSPECT AVE ,A,22903,NOT AVAILABLE
724 PROSPECT AVE ,B,22903,NOT AVAILABLE
724 PROSPECT AVE ,C,22903,NOT AVAILABLE
726 PROSPECT AVE ,A,22903,NOT AVAILABLE
726 PROSPECT AVE ,B,22903,NOT AVAILABLE
726 PROSPECT AVE ,C,22903,NOT AVAILABLE
726 PROSPECT AVE ,D,22903,NOT AVAILABLE
726 PROSPECT AVE ,E,22903,NOT AVAILABLE
726 PROSPECT AVE ,F,22903,NOT AVAILABLE
728 PROSPECT AVE ,A,22903,NOT AVAILABLE
728 PROSPECT AVE ,B,22903,NOT AVAILABLE
728 PROSPECT AVE ,C,22903,NOT AVAILABLE
728 PROSPECT AVE ,D,22903,NOT AVAILABLE
728 PROSPECT AVE ,E,22903,NOT AVAILABLE
728 PROSPECT AVE ,F,22903,NOT AVAILABLE
730 PROSPECT AVE ,A,22903,NOT AVAILABLE
730 PROSPECT AVE ,B,22903,NOT AVAILABLE
730 PROSPECT AVE ,C,22903,NOT AVAILABLE
100 RIDGE ST ,102,22902,NOT AVAILABLE
100 RIDGE ST ,403,22902,NOT AVAILABLE
100 RIDGE ST ,404,22902,NOT AVAILABLE
100 RIDGE ST ,405,22902,NOT AVAILABLE
100 RIDGE ST ,406,22902,NOT AVAILABLE
100 RIDGE ST ,407,22902,NOT AVAILABLE
100 RIDGE ST ,408,22902,NOT AVAILABLE
100 RIDGE ST ,409,22902,NOT AVAILABLE
100 RIDGE ST ,410,22902,NOT AVAILABLE
100 RIDGE ST ,412,22902,NOT AVAILABLE
100 RIDGE ST ,413,22902,NOT AVAILABLE
100 RIDGE ST ,414,22902,NOT AVAILABLE
100 RIDGE ST ,415,22902,NOT AVAILABLE
100 RIDGE ST ,416,22902,NOT AVAILABLE
100 RIDGE ST ,417,22902,NOT AVAILABLE
100 RIDGE ST ,418,22902,NOT AVAILABLE
100 RIDGE ST ,419,22902,NOT AVAILABLE
100 RIDGE ST ,420,22902,NOT AVAILABLE
100 RIDGE ST ,421,22902,NOT AVAILABLE
100 RIDGE ST ,422,22902,NOT AVAILABLE
100 RIDGE ST ,423,22902,NOT AVAILABLE
100 RIDGE ST ,301,22902,NOT AVAILABLE
107 PIEDMONT AVE N ,B,22903,NOT AVAILABLE
109 PIEDMONT AVE N ,A,22903,NOT AVAILABLE
100 RIDGE ST ,302,22902,NOT AVAILABLE
100 RIDGE ST ,303,22902,NOT AVAILABLE
140 EMMET ST N ,,22903,AVAILABLE
100 RIDGE ST ,304,22902,NOT AVAILABLE
1107 EMMET ST N ,F,22903,NOT AVAILABLE
945 EMMET ST N ,,22903,NOT AVAILABLE
1417 EMMET ST N ,E,22903,AVAILABLE
100 RIDGE ST ,305,22902,NOT AVAILABLE
100 RIDGE ST ,306,22902,NOT AVAILABLE
100 RIDGE ST ,307,22902,NOT AVAILABLE
100 RIDGE ST ,308,22902,NOT AVAILABLE
100 RIDGE ST ,309,22902,NOT AVAILABLE
100 RIDGE ST ,310,22902,NOT AVAILABLE
100 RIDGE ST ,311,22902,NOT AVAILABLE
100 RIDGE ST ,312,22902,NOT AVAILABLE
100 RIDGE ST ,313,22902,NOT AVAILABLE
100 RIDGE ST ,314,22902,NOT AVAILABLE
100 RIDGE ST ,315,22902,NOT AVAILABLE
100 RIDGE ST ,316,22902,NOT AVAILABLE
100 RIDGE ST ,317,22902,NOT AVAILABLE
100 RIDGE ST ,318,22902,NOT AVAILABLE
100 RIDGE ST ,319,22902,NOT AVAILABLE
100 RIDGE ST ,320,22902,NOT AVAILABLE
100 RIDGE ST ,321,22902,NOT AVAILABLE
100 RIDGE ST ,322,22902,NOT AVAILABLE
100 RIDGE ST ,323,22902,NOT AVAILABLE
100 RIDGE ST ,B14,22902,NOT AVAILABLE
100 RIDGE ST ,B16,22902,NOT AVAILABLE
500 1ST ST S ,711,22902,NOT AVAILABLE
500 1ST ST S ,713,22902,NOT AVAILABLE
500 1ST ST S ,714,22902,NOT AVAILABLE
500 1ST ST S ,801,22902,NOT AVAILABLE
500 1ST ST S ,802,22902,NOT AVAILABLE
500 1ST ST S ,803,22902,NOT AVAILABLE
500 1ST ST S ,806,22902,NOT AVAILABLE
500 1ST ST S ,807,22902,NOT AVAILABLE
322 4TH ST SE ,4,22902,AVAILABLE
322 4TH ST SE ,5,22902,AVAILABLE
322 4TH ST SE ,6,22902,AVAILABLE
322 4TH ST SE ,7,22902,AVAILABLE
322 4TH ST SE ,8,22902,AVAILABLE
1000 E MARKET ST ,2-6,22902,AVAILABLE
1000 E MARKET ST ,3-1,22902,AVAILABLE
1000 E MARKET ST ,3-2,22902,AVAILABLE
1000 E MARKET ST ,3-3,22902,AVAILABLE
1000 E MARKET ST ,3-5,22902,AVAILABLE
1000 E MARKET ST ,3-6,22902,AVAILABLE
1000 E MARKET ST ,B,22902,AVAILABLE
1000 E MARKET ST ,1-1,22902,AVAILABLE
1000 E MARKET ST ,1-2,22902,AVAILABLE
1000 E MARKET ST ,1-3,22902,AVAILABLE
1207 EMMET ST N ,,22903,AVAILABLE
1000 E MARKET ST ,1-4,22902,AVAILABLE
1021 GRADY AVE ,,22903,NOT AVAILABLE
1016 LOCUST AVE ,,22901,AVAILABLE
630 PROSPECT AVE ,A,22903,NOT AVAILABLE
630 PROSPECT AVE ,B,22903,NOT AVAILABLE
1632 OXFORD RD ,,22903,AVAILABLE
1634 OXFORD RD ,,22903,AVAILABLE
2409 JEFFERSON PARK AVE ,,22903,NOT AVAILABLE
911 CHERRY AVE ,,22903,AVAILABLE
2118 BARRACKS RD ,,22903,NOT AVAILABLE
864 ST CHARLES AVE ,,22901,NOT AVAILABLE
119 LODGE CREEK CIR ,,22903,NOT AVAILABLE
600 BOLLING AVE ,,22902,NOT AVAILABLE
810 BELMONT AVE ,,22902,AVAILABLE
612 BOLLING AVE ,,22902,NOT AVAILABLE
824 BELMONT AVE ,,22902,AVAILABLE
